product_number;product_name;discount_price;price
76238;Classic TV Series Batman™ Cowl;133.28;272
76904;Mopar Dodge//SRT Top Fuel Dragster and 1970 Dodge Challenger T/A;243.04;496
31207;Floral Art;265.09;541
41711;Emma's Art School;;
41713;Olivia's Space Academy;245.98;502
42107;Ducati Panigale V4 R;240.59;491
75327;Luke Skywalker™ (Red Five) Helmet;229.81;469
75328;The Mandalorian™ Helmet;229.81;469
75329;Death Star™ Trench Run Diorama;229.81;469
75343;Dark Trooper™ Helmet;229.81;469
76223;Nano Gauntlet;233.24;476
80037;Dragon of the East;;
10952;Barn, Tractor & Farm Animal Care;256.27;523
11717;Bricks Bricks Plates;273.91;559
41395;Friendship Bus;271.46;554
41449;Andrea's Family House;255.29;521
41682;Heartlake City School;255.29;521
41683;Forest Horseback Riding Center;255.78;522
41693;Surfer Beachfront;;
41709;Vacation Beach House;250.39;511
71407;tbd-LEAF-12-2022;;
71409;tbd-LEAF-14-2022;;
71748;Catamaran Sea Battle;261.17;533
75296;Darth Vader™ Meditation Chamber;;
75306;Imperial Probe Droid™;276.29;563.85
76155;In Arishem’s Shadow;273.91;559
76183;Batcave™: The Riddler™ Face-off;250.39;511
76187;Venom;243.04;496
76392;Hogwarts™ Wizard’s Chess;;
80033;Evil Macaque’s Mech;;
80108;Lunar New Year Traditions;;
10411;Learn about Chinese Culture;;
11022;Space Mission;292.04;596
21331;Sonic the Hedgehog™ – Green Hill Zone;265.58;542
41702;Canal Houseboat;275.87;563
41703;Friendship Tree House;292.04;596
60335;Train Station;119.2;149
71754;Water Dragon;259.7;530
71771;The Crystal King Temple;291.55;595
75304;Darth Vader™ Helmet;281.77;575.04
75338;Ambush on Ferrix™;;
75968;4 Privet Drive;295.47;603
10271;Fiat 500;;
21319;Central Perk;;
21328;Seinfeld;405.72;828
43206;Cinderella and Prince Charming's Castle;277.34;566
71401;Luigi’s Mansion™ Haunt-and-Seek Expansion Set;292.04;596
76175;Attack on the Spider Lair;318.01;649
42139;All-Terrain Vehicle;292.53;597
75318;The Child;243.53;497
75330;Dagobah™ Jedi™ Training Diorama;309.68;632
75339;Death Star™ Trash Compactor Diorama;229.81;469
76191;Infinity Gauntlet;272.93;557
76214;tbd-LSH-Batch-C3-2022;;
76216;Iron Man Armory;141.61;289
76388;Hogsmeade™ Village Visit;330.26;674
76402;Hogwarts™: Dumbledore’s Office;297.92;608
76407;The Shrieking Shack & Whomping Willow™;309.68;632
76989;Horizon Forbidden West: Tallneck;309.68;632
80034;Nezha’s Fire Ring;;
10266;NASA Apollo 11 Lunar Lander;;
10275;Elf Club House;;
10282;adidas Originals Superstar;339.57;693
