product_number;product_name;discount_price;price
60335;Train Station;349.0;0
71754;Water Dragon;325.0;0
75304;Darth Vader™ Helmet;329.0;0
75338;Ambush on Ferrix™;229.0;0
75968;4 Privet Drive;263.73;379.0
10271;Fiat 500;424.0;0
21319;Central Perk;305.0;0
21328;Seinfeld;413.74;0
43206;Cinderella and Prince Charming's Castle;296.16;0
71401;Luigi’s Mansion™ Haunt-and-Seek Expansion Set;268.7;349.0
76175;Attack on the Spider Lair;318.01;349.0
42139;All-Terrain Vehicle;266.0;359.0
75318;The Child;321.0;359.0
75330;Dagobah™ Jedi™ Training Diorama;284.65;359.0
75339;Death Star™ Trash Compactor Diorama;399.0;0
76191;Infinity Gauntlet;322.95;359.0
76214;tbd-LSH-Batch-C3-2022;299.0;0
76216;Iron Man Armory;288.2;0
76388;Hogsmeade™ Village Visit;322.76;0
76402;Hogwarts™: Dumbledore’s Office;297.92;359.0
76407;The Shrieking Shack & Whomping Willow™;267.0;0
76989;Horizon Forbidden West: Tallneck;299.05;359.0
80034;Nezha’s Fire Ring;0;0
10266;NASA Apollo 11 Lunar Lander;446.0;485.0
10275;Elf Club House;549.0;0
10282;adidas Originals Superstar;344.1;399.0
10289;Bird of Paradise;399.82;0
10293;Santa’s Visit;370.0;0
10298;Vespa 125;394.0;0
10308;tbd-Icons-Seasonal-2022;699.03;0
10497;tbd-Icon-MDP2-2022;399.0;0
10970;Fire Station & Helicopter;292.85;399.0
10974;Wild Animals of Asia;349.76;399.0
11020;Build Together;268.23;399.0
21042;Statue of Liberty;359.15;499.0
21187;The Red Barn;388.57;0
21326;Winnie the Pooh;435.93;0
21334;tbd-Ideas-4-2022;499.0;0
31119;Ferris Wheel;399.0;0
41714;Andrea's Theater School;438.95;0
41721;Organic Farm;284.61;0
41722;Horse Show Trailer;439.0;0
42127;THE BATMAN - BATMOBILE™;302.01;399.0
43205;Ultimate Adventure Castle;419.0;0
43207;Ariel's Underwater Palace;328.4;0
60302;Wildlife Rescue Operation;322.46;0
60317;Police Chase at the Bank;306.75;328.82
60321;Fire Brigade;342.59;0
60330;Hospital;329.98;399.0
60350;Lunar Research Base;439.0;0
71739;Ultra Sonic Raider;641.75;0
71765;Ninja Ultra Combo Mech;334.95;399.0
71767;Ninja Dojo Temple;449.0;0
71773;Kai’s Golden Dragon Raider;369.0;399.0
75326;Boba Fett's Throne Room;381.63;0
75335;BD-1™;380.0;399.0
75336;Inquisitor Transport Scythe™;380.0;399.0
75573;tbd-PT-IP-3-2021;549.01;0
75955;Hogwarts™ Express;440.01;0
75969;Hogwarts™ Astronomy Tower;353.7;0
76192;Avengers: Endgame Final Battle;360.77;0
76403;The Ministry of Magic™;366.03;399.0
76948;T. rex & Atrociraptor Dinosaur Breakout;357.2;399.0
76956;T. rex Breakout;350.65;399.0
10943;Happy Childhood Moments;298.0;571.0
41450;Heartlake City Shopping Mall;374.0;0
41684;Heartlake City Grand Hotel;374.0;0
41685;Magical Funfair Roller Coaster;320.0;0
60262;Passenger Airplane;410.0;0
60292;Town Center;312.0;581.0
60295;Stunt Show Arena;337.21;428.81
60307;Wildlife Rescue Camp;326.05;0
71391;Bowser’s Airship Expansion Set;0;0
75314;The Bad Batch™ Attack Shuttle;399.0;439.0
75948;Hogwarts™ Clock Tower;386.34;0
75980;Attack on the Burrow;425.0;549.0
76156;Rise of the Domo;330.1;354.28
80109;Lunar New Year Ice Festival;499.0;0
10948;Parking Garage and Car Wash;344.96;449.0
21054;The White House;357.85;0
80035;Monkie Kid's Galactic Explorer;365.0;0
80038;Monkie Kid’s Team Van;439.0;0
21056;Taj Mahal;400.33;459.0
21329;Fender® Stratocaster™;405.72;459.0
21336;tbd-ideas-6-2022;762.24;0
31132;Viking Ship and the Midgard Serpent;375.4;459.0
31205;Jim Lee Batman™ Collection;370.0;459.0
42111;Dom's Dodge Charger;402.57;0
42144;Material Handler;469.0;0
71755;Temple of the Endless Sea;374.32;479.0
10290;Pickup Truck;482.09;0
10875;Cargo Train;494.9;599.0
10975;Wild Animals of the World;470.15;499.0
21188;The Llama Village;432.5;499.0
31109;Pirate Ship;399.54;499.0
76209;Thor's Hammer;441.7;499.0
76408;12 Grimmauld Place;437.6;499.0
21174;The Modern Treehouse;394.57;529.0
21226;Art Project - Create Together;424.75;529.0
21324;123 Sesame Street;499.0;0
31201;Harry Potter™ Hogwarts™ Crests;515.78;0
31202;Disney's Mickey Mouse;418.69;0
31204;Elvis Presley “The King”;426.57;0
92176;LEGO® NASA Apollo Saturn V;853.05;0
10956;Amusement Park;363.69;549.0
71408;tbd-LEAF-13-2022;509.78;549.0
21058;Great Pyramid of Giza;559.0;0
75292;The Razor Crest™;645.88;0
75337;tbd-IP-LSW-19-2022;532.38;0
76949;Giganotosaurus & Therizinosaurus Attack;484.75;559.0
42124;Off-Road Buggy;399.0;0
60197;Passenger Train;569.0;619.0
76393;Harry Potter™ & Hermione Granger™;755.32;0
31206;The Rolling Stones;461.0;599.0
41704;Main Street Building;487.24;0
42140;App-Controlled Transformation Vehicle;514.5;599.0
60337;Express Passenger Train;599.0;0
60339;Double Loop Stunt Arena;476.05;599.0
60351;Rocket Launch Center;482.55;599.0
71756;Hydro Bounty;536.29;0
71774;Lloyd’s Golden Ultra Dragon;476.15;599.0
75574;tbd-PT-IP-4-2021;622.39;0
76389;Hogwarts™ Chamber of Secrets;567.0;0
42126;Ford® F-150 Raptor;481.0;619.0
80036;The City of Lanterns;569.0;0
10265;Ford Mustang;649.0;0
10295;Porsche 911;599.0;0
10304;tbd-Icons-IP-Vehicle-2-2022;799.0;0
21333;Vincent van Gogh - The Starry Night;1003.59;0
75323;tbd-IP-LSW4-2022;649.0;0
76193;The Guardians’ Ship;547.39;659.0
10279;Volkswagen T2 Camper Van;840.45;0
10292;The Friends Apartments;574.5;699.0
10302;Optimus Prime;614.42;699.0
21325;Blacksmith;629.0;0
42128;Heavy-duty Tow Truck;563.01;699.0
60336;Freight Train;644.84;699.0
75315;Imperial Light Cruiser™;505.0;533.33
60198;Cargo Train;711.0;949.0
43179;Mickey Mouse & Minnie Mouse Buildable Ch;891.45;0
10270;Bookshop;849.0;0
10278;Police Station;794.0;0
10283;NASA Space Shuttle Discovery;999.03;0
10300;Back to the Future Time Machine;656.97;799.0
